"year_month","buildings","revenue","three11","transportation","law","aviation","ethics","environment","police","fire","oemc","health","compliance","procurement","mayor","water","streets","admin.hearing","human.resources","budget","doit","fleet","human.relations","special.events","clerk","cultural.x","comm.dev","planning","animal","police.board","business.affairs","ipra","family","license.commission","disability","chicago.library","cultural.y","treasurer","zoning","graphics","fleet.facilities"
NA,203,5,2,NA,2,1,2,NA,NA,18,NA,1,NA,6,NA,NA,5,2,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,1,1,1
2005-01-01,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-01,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-01,1802,20,9,65,3,15,13,123,393,641,124,38,2,26,3,25,11,78,11,4,1,2,2,NA,14,NA,NA,NA,NA,5,60,11,4,NA,NA,1,NA,3,NA,NA,NA
2012-01-01,1143,4,13,35,18,11,7,NA,352,578,120,36,NA,22,4,15,180,90,10,NA,2,NA,2,NA,8,NA,NA,86,41,2,83,22,2,1,NA,4,NA,NA,NA,NA,6
2013-01-01,962,NA,9,58,10,3,NA,NA,465,684,176,29,NA,25,5,20,186,113,17,NA,6,NA,NA,NA,15,NA,NA,156,39,6,113,14,6,NA,NA,NA,1,NA,NA,NA,10
2014-01-01,595,NA,19,29,7,9,2,NA,NA,881,90,13,NA,17,11,44,165,538,13,NA,2,NA,NA,NA,12,NA,NA,69,28,4,85,9,NA,NA,NA,3,4,NA,NA,NA,3
2015-01-01,621,NA,13,70,24,NA,2,NA,NA,727,94,NA,NA,22,5,41,50,447,21,NA,6,NA,NA,NA,NA,NA,NA,60,63,5,109,32,6,1,NA,5,2,NA,NA,NA,14
2002-02-01,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA
2011-02-01,1861,13,7,36,7,10,6,125,370,532,109,32,7,18,3,34,15,72,19,7,4,1,3,NA,10,NA,NA,NA,1,4,50,10,6,NA,NA,2,2,1,NA,NA,NA
2012-02-01,446,1,16,55,18,7,4,NA,385,626,126,130,NA,41,9,26,166,75,16,NA,3,NA,2,NA,10,NA,NA,63,57,3,122,10,6,1,2,2,2,1,NA,NA,2
2013-02-01,1446,NA,22,55,13,4,NA,NA,389,597,112,12,NA,17,9,31,151,90,13,NA,3,NA,2,NA,8,NA,NA,147,41,8,86,11,4,NA,NA,1,NA,3,NA,NA,6
2014-02-01,560,NA,18,42,16,11,2,NA,NA,722,82,12,NA,9,12,33,148,363,12,NA,4,NA,1,NA,11,NA,NA,54,55,NA,104,6,4,1,NA,1,1,1,NA,NA,7
2015-02-01,729,NA,20,64,29,NA,4,NA,NA,667,111,NA,NA,57,NA,35,5,412,12,NA,11,NA,1,NA,NA,NA,NA,63,43,8,111,42,7,5,NA,NA,5,NA,NA,NA,25
2004-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-03-01,2347,19,12,37,8,16,3,133,515,661,163,42,7,30,1,19,125,80,15,5,4,6,1,NA,15,1,NA,NA,22,2,90,6,8,NA,NA,2,4,1,NA,NA,NA
2012-03-01,764,NA,12,52,12,8,1,NA,392,694,122,204,NA,23,7,28,184,85,5,NA,7,NA,1,NA,8,NA,NA,87,64,4,117,13,6,NA,NA,3,1,NA,NA,NA,4
